topic,kategori
281,politik
282,pendamping jokowi
283,other
284,other
285,ekonomi
286,other
287,other
288,politik
289,other
290,jokowi
291,politik
292,jokowi
293,jokowi
294,jokowi
295,other
296,relawan jokowi
297,other
298,prabowo vs jokowi
299,politik
300,jokowi
301,jokowi
302,politik
303,politik
304,other
305,prabowo vs jokowi
306,politik
307,other
308,prabowo vs jokowi
309,other
310,jokowi
311,politik
312,keluhan
313,other
314,jokowi
315,other
316,other
317,other
318,politik
319,prabowo vs jokowi
320,jokowi
321,ekonomi
322,other
323,other
324,other
325,other
326,jokowi
327,politik
328,jokowi
329,demo
330,prabowo vs jokowi
331,other
332,other
333,politik
334,other
335,keluhan
336,koalisi
337,other
338,other
339,politik
340,other
341,other
342,ekonomi
343,other
344,other
345,politik
346,other
347,jokowi
348,pendamping jokowi
349,other
350,buruh
351,other
352,relawan jokowi
353,prabowo vs jokowi
354,relawan jokowi
355,buruh
356,buruh
357,other
358,ekonomi
359,politik
360,politik
361,other
362,other
363,buruh
364,other
365,buruh
366,politik
367,buruh
368,jokowi
369,jokowi
370,buruh
371,other
372,politik
373,jokowi
374,jokowi
375,politik
376,buruh
377,jokowi
378,politik
379,politik
380,other
381,other
382,other
383,pendamping jokowi
384,jokowi
385,other
386,politik
387,jasmev
388,jokowi
389,other
390,jokowi
391,other
392,other
393,other
394,jokowi
395,other
396,other
397,other
398,other
399,politik
400,other
401,other
402,other
403,buruh
404,other
405,other
406,politik
407,other
408,other
409,jokowi
410,politik
411,other
412,ekonomi
413,pendamping jokowi
414,other
415,politik
416,pendamping jokowi
417,buruh
418,other
419,buruh
420,other
421,jokowi
422,other
423,other
424,other
425,politik
426,jokowi
427,other
428,other
429,jokowi
430,other
431,other
432,politik
433,politik
434,jokowi
435,other
436,other
437,demo
438,jokowi
439,koalisi
440,other
441,politik
442,other
443,other
444,other
445,buruh
446,other
447,video jokowi
448,keluhan
449,politik
450,other
451,other
452,jokowi
453,jokowi
454,other
455,other
456,keluhan
457,politik
458,other
459,prabowo vs jokowi
460,other
461,jokowi
462,other
463,jokowi
464,other
465,other
466,politik
467,pendamping jokowi
468,jokowi
469,politik
470,other
471,jokowi
472,other
473,politik
474,jokowi
475,jokowi
476,other
477,other
478,buruh
479,jokowi
480,other
481,other
482,demo
483,other
484,jokowi
485,other
486,jokowi
487,jokowi
488,other
489,other
490,other
491,politik
492,other
493,jokowi
494,other
495,prabowo vs jokowi
496,other
497,other
498,relawan jokowi
499,other
500,other
501,other
502,jokowi
503,other
504,other
505,buruh
506,other
507,other
508,other
509,other
510,other
511,politik
512,jokowi
513,other
514,other
515,other
516,pendamping jokowi
517,other
518,other
519,other
520,other
521,other
522,other
523,politik
524,jokowi
525,jokowi
526,other
527,other
528,jokowi
529,other
530,other
531,keluhan
532,other
533,other
534,jokowi
535,other
536,other
537,other
538,other
539,politik
540,jokowi
541,other
542,buruh
543,other
544,other
545,other
546,other
547,other
548,other
549,other
550,other
551,demo
552,other
553,other
554,politik
555,other
556,jokowi
557,jokowi
558,buruh
559,jokowi
560,politik
