topik,kategori
1121,prabowo vs jokowi
1122,other
1123,other
1124,other
1125,other
1126,other
1127,other
1128,jokowi
1129,politik
1130,other
1131,politik
1132,other
1133,cawapres
1134,other
1135,politik
1136,jokowi
1137,other
1138,other
1139,other
1140,other
1141,demo
1142,other
1143,other
1144,other
1145,jokowi
1146,other
1147,demo
1148,jasmev
1149,politik
1150,politik
1151,other
1152,other
1153,other
1154,other
1155,other
1156,other
1157,other
1158,other
1159,other
1160,other
1161,jokowi
1162,other
1163,other
1164,other
1165,jokowi
1166,other
1167,koalisi
1168,jasmev
1169,koalisi
1170,other
1171,other
1172,jokowi
1173,other
1174,other
1175,other
1176,other
1177,other
1178,other
1179,other
1180,other
1181,politik
1182,politik
1183,prabowo vs jokowi
1184,jokowi
1185,relawan jokowi
1186,other
1187,other
1188,jokowi
1189,ekonomi
1190,politik
1191,other
1192,other
1193,other
1194,other
1195,other
1196,cawapres
1197,jokowi
1198,buruh
1199,other
1200,other
1201,jokowi
1202,other
1203,other
1204,other
1205,koalisi
1206,politik
1207,other
1208,other
1209,jokowi
1210,ekonomi
1211,jasmev
1212,other
1213,other
1214,other
1215,other
1216,politik
1217,jokowi
1218,other
1219,video jokowi
1220,other
1221,politik
1222,other
1223,other
1224,other
1225,other
1226,prabowo vs jokowi
1227,prabowo vs jokowi
1228,politik
1229,politik
1230,ekonomi
1231,relawan jokowi
1232,other
1233,politik
1234,other
1235,other
1236,other
1237,other
1238,other
1239,other
1240,other
1241,politik
1242,other
1243,relawan jokowi
1244,other
1245,other
1246,other
1247,other
1248,other
1249,jokowi
1250,other
1251,other
1252,relawan jokowi
1253,other
1254,other
1255,demo
1256,other
1257,other
1258,prabowo vs jokowi
1259,other
1260,video jokowi
1261,buruh
1262,other
1263,jasmev
1264,koalisi
1265,other
1266,ekonomi
1267,other
1268,other
1269,other
1270,other
1271,other
1272,other
1273,other
1274,other
1275,other
1276,other
1277,buruh
1278,other
1279,other
1280,politik
1281,politik
1282,buruh
1283,prabowo vs jokowi
1284,koalisi
1285,other
1286,other
1287,prabowo vs jokowi
1288,cawapres
1289,video jokowi
1290,other
1291,other
1292,other
1293,other
1294,buruh
1295,ekonomi
1296,other
1297,other
1298,other
1299,other
1300,other
1301,other
1302,other
1303,other
1304,jokowi
1305,other
1306,other
1307,other
1308,other
1309,other
1310,other
1311,ekonomi
1312,other
1313,other
1314,other
1315,prabowo vs jokowi
1316,other
1317,buruh
1318,other
1319,other
1320,other
1321,koalisi
1322,other
1323,ekonomi
1324,other
1325,other
1326,other
1327,koalisi
1328,other
1329,other
1330,other
1331,other
1332,politik
1333,other
1334,politik
1335,buruh
1336,prabowo vs jokowi
1337,jokowi
1338,other
1339,politik
1340,jokowi
1341,prabowo vs jokowi
1342,jokowi
1343,prabowo vs jokowi
1344,p
1345,jasmev
1346,other
1347,jokowi
1348,politik
1349,other
1350,politik
1351,prabowo vs jokowi
1352,cawapres
1353,other
1354,other
1355,jokowi
1356,other
1357,prabowo vs jokowi
1358,koalisi
1359,jokowi
1360,jokowi
1361,other
1362,politik
1363,politik
1364,other
1365,jokowi
1366,politik
1367,other
1368,cawapres
1369,other
1370,other
1371,other
1372,politik
1373,relawan jokowi
1374,jokowi
1375,other
1376,other
1377,other
1378,politik
1379,politik
1380,cawapres
1381,cawapres
1382,other
1383,other
1384,other
1385,politik
1386,buruh
1387,other
1388,other
1389,other
1390,other
1391,buruh
1392,other
1393,relawan jokowi
1394,other
1395,other
1396,prabowo vs jokowi
1397,other
1398,prabowo vs jokowi
1399,jokowi
